DATA,VALOR
2025-08-12,30.116762161254883
2025-08-13,29.891864776611328
2025-08-14,29.510517120361328
2025-08-15,29.5007381439209
2025-08-18,29.686525344848633
2025-08-19,29.37362289428711
2025-08-20,29.54962921142578
2025-08-21,29.618078231811523
2025-08-22,30.469999313354492
2025-08-25,30.649999618530273
2025-08-26,30.43000030517578
2025-08-27,30.65999984741211
2025-08-28,30.93000030517578
2025-08-29,31.100000381469727
2025-09-01,31.170000076293945
2025-09-02,31.329999923706055
2025-09-03,31.059999465942383
2025-09-04,31.059999465942383
2025-09-05,30.59000015258789
2025-09-08,30.709999084472656
2025-09-09,30.950000762939453
2025-09-10,31.510000228881836
2025-09-11,31.389999389648438
2025-09-12,31.549999237060547
